pres_pure,pres_alt,height
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100118.0000,345.0704,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100127.0000,344.3174,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
100122.0000,344.7375,0.0000
-139348.0000,344.7375,0.0000
-139348.0000,344.7375,0.0000
-139348.0000,344.7375,0.0000
-139348.0000,344.7375,0.0000
-139348.0000,344.7375,0.0000
-139348.0000,344.7375,0.0000
-139348.0000,344.7375,0.0000
-139348.0000,344.7375,0.0000
-139348.0000,344.7375,0.0000
-139348.0000,344.7375,0.0000
-139348.0000,344.7375,0.0000
-139348.0000,344.7375,0.0000
-139348.0000,344.7375,0.0000
-139348.0000,344.7375,0.0000
